Row.names,summaryGroups,summaryGroupsExtended,CONSENSUS_CRG,CONSENSUS2_CRG,PR2_L1,PR2_L2,PR2_L3,PR2_L4,PR2_L5,PR2_L6,PR2_L7,PR2_L8,perc_id_PR2,al_length_PR2,summary_type,summaryGroups_metazoan
ASV_13500,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp,96.401,389,heterotroph - saprotroph - parasite ,
ASV_2022,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Filosa-Thecofilosea_XX,Filosa-Thecofilosea_XXX,Filosa-Thecofilosea_XXX_sp,100,387,heterotroph - saprotroph - parasite ,
ASV_21824,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Filosa-Thecofilosea_XX,Filosa-Thecofilosea_XXX,Filosa-Thecofilosea_XXX_sp,95.396,391,heterotroph - saprotroph - parasite ,
ASV_22014,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriida,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp,98.201,389,heterotroph - saprotroph - parasite ,
ASV_22183,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_aestivalis,96.875,384,heterotroph - saprotroph - parasite ,
ASV_22784,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa,Protaspa_obliqua,94.872,390,heterotroph - saprotroph - parasite ,
ASV_22847,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza,Mataza_hastifera,99.486,389,heterotroph - saprotroph - parasite ,
ASV_2803,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp,89.514,391,heterotroph - saprotroph - parasite ,
ASV_4201,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp,99.486,389,heterotroph - saprotroph - parasite ,
ASV_6093,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp,96.923,390,heterotroph - saprotroph - parasite ,
ASV_6322,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriida,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp,99.227,388,heterotroph - saprotroph - parasite ,
ASV_8926,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp,97.686,389,heterotroph - saprotroph - parasite ,
ASV_9269,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza,Mataza_hastifera,98.201,389,heterotroph - saprotroph - parasite ,
ASV_10740,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,100,387,phototroph,
ASV_15682,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastigaceae-B,Dolichomastigaceae-B_sp,99.13,345,phototroph,
ASV_21944,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastigaceae-B,Dolichomastigaceae-B_sp,95.739,399,phototroph,
ASV_22042,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Crustomastigaceae,Crustomastigaceae-AB,Crustomastigaceae-AB_sp,97.368,380,phototroph,
ASV_22043,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2,99.491,393,phototroph,
ASV_22052,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B2,100,382,phototroph,
ASV_22604,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,99.239,394,phototroph,
ASV_22631,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,100,390,phototroph,
ASV_22775,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,94.324,370,phototroph,
ASV_22906,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,99.745,392,phototroph,
ASV_22824,green,green,Prasinophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonas,Pyramimonas_sp,96.588,381,phototroph,
ASV_8438,green,green,Prasinophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pterosperma,Pterosperma_sp,98.163,381,phototroph,
ASV_10403,green,green,Trebouxiophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolales_X,Pabia,Pabia_signensis,99.736,379,phototroph,
